"Global X MSCI China Financials ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
06/16/2016,11.85,-0.02,-0.17,0.09,0.79
06/15/2016,11.87,0.00,0.00,-0.08,-0.63
06/14/2016,11.87,0.06,0.51,-0.06,-0.47
06/13/2016,11.81,-0.22,-1.83,-0.14,-1.14
06/10/2016,12.03,-0.38,-3.06,-0.16,-1.27
06/09/2016,12.41,-0.06,-0.48,-0.07,-0.52
06/08/2016,12.47,0.01,0.08,0.00,-0.03
06/07/2016,12.46,0.12,0.97,-0.02,-0.15
06/06/2016,12.34,0.14,1.15,0.07,0.59
06/03/2016,12.2,0.02,0.16,0.01,0.08
06/02/2016,12.18,0.14,1.16,0.06,0.51
06/01/2016,12.04,-0.07,-0.58,-0.01,-0.05
05/31/2016,12.11,0.28,2.37,0.04,0.34
05/27/2016,11.83,0.10,0.85,-0.05,-0.44
05/26/2016,11.73,-0.06,-0.51,-0.02,-0.14
05/25/2016,11.79,0.17,1.46,0.04,0.32
05/24/2016,11.62,0.25,2.20,0.16,1.39
05/23/2016,11.37,-0.02,-0.18,-0.08,-0.69
05/20/2016,11.39,0.18,1.61,-0.05,-0.48
05/19/2016,11.21,-0.05,-0.44,-0.10,-0.88
05/18/2016,11.26,-0.06,-0.53,-0.14,-1.23
05/17/2016,11.32,-0.09,-0.79,-0.22,-1.91
05/16/2016,11.41,0.18,1.60,0.01,0.06
05/13/2016,11.23,-0.25,-2.18,-0.16,-1.40
05/12/2016,11.48,-0.05,-0.43,-0.10,-0.87
05/11/2016,11.53,-0.20,-1.71,-0.12,-1.07
05/10/2016,11.73,0.22,1.91,0.01,0.07
05/09/2016,11.51,-0.22,-1.88,-0.19,-1.63
05/06/2016,11.73,-0.07,-0.59,-0.02,-0.19
05/05/2016,11.8,0.03,0.25,-0.16,-1.32
05/04/2016,11.77,-0.11,-0.93,-0.28,-2.30
05/03/2016,11.88,-0.33,-2.70,-0.21,-1.77
05/02/2016,12.21,-0.03,-0.25,-0.16,-1.27
04/29/2016,12.24,-0.14,-1.13,-0.13,-1.07
04/28/2016,12.38,-0.17,-1.35,-0.15,-1.18
04/27/2016,12.55,0.11,0.88,0.02,0.18
04/26/2016,12.44,0.02,0.16,-0.09,-0.74
04/25/2016,12.42,-0.09,-0.72,-0.09,-0.74
04/22/2016,12.51,-0.06,-0.48,-0.14,-1.13
04/21/2016,12.57,-0.15,-1.18,-0.23,-1.81
04/20/2016,12.72,-0.10,-0.78,0.04,0.33
04/19/2016,12.82,0.13,1.02,0.02,0.18
04/18/2016,12.69,0.07,0.55,0.06,0.47
04/15/2016,12.62,-0.14,-1.10,-0.18,-1.42
04/14/2016,12.76,-0.01,-0.08,-0.03,-0.25
04/13/2016,12.77,0.42,3.40,0.07,0.53
04/12/2016,12.35,0.12,0.98,0.04,0.35
04/11/2016,12.23,0.19,1.58,-0.10,-0.84
04/08/2016,12.04,0.17,1.43,-0.16,-1.30
04/07/2016,11.87,-0.32,-2.63,-0.25,-2.08
04/06/2016,12.19,0.20,1.67,0.02,0.17
04/05/2016,11.99,-0.27,-2.20,-0.19,-1.55
04/04/2016,12.26,12.26,0.00,-0.11,-0.89
04/01/2016,0,-12.49,-100.00,0.00,0.00
03/31/2016,12.49,12.49,0.00,-0.09,-0.75
03/30/2016,0,-12.42,-100.00,0.00,0.00
03/29/2016,12.42,0.15,1.22,0.10,0.83
03/28/2016,12.27,0.11,0.90,-0.04,-0.29
03/24/2016,12.16,-0.15,-1.22,-0.14,-1.16
03/23/2016,12.31,-0.21,-1.68,-0.23,-1.85
03/22/2016,12.52,-0.11,-0.87,-0.10,-0.79
03/21/2016,12.63,0.10,0.80,-0.01,-0.11
03/18/2016,12.53,0.12,0.97,-0.03,-0.21
03/17/2016,12.41,0.13,1.06,0.03,0.28
03/16/2016,12.28,0.12,0.99,0.14,1.13
03/15/2016,12.16,-0.07,-0.57,-0.03,-0.21
03/14/2016,12.23,0.06,0.49,-0.09,-0.70
03/11/2016,12.17,0.37,3.14,0.09,0.75
03/10/2016,11.8,-0.08,-0.67,-0.10,-0.88
03/09/2016,11.88,0.04,0.34,-0.06,-0.46
03/08/2016,11.84,-0.32,-2.63,-0.15,-1.29
03/07/2016,12.16,-0.09,-0.73,-0.03,-0.27
03/04/2016,12.25,0.38,3.20,0.17,1.43
03/03/2016,11.87,0.02,0.17,0.05,0.40
03/02/2016,11.85,0.33,2.86,0.04,0.31
03/01/2016,11.52,0.36,3.23,0.18,1.59
02/29/2016,11.16,0.00,0.00,0.04,0.37
02/26/2016,11.16,-0.01,-0.09,-0.10,-0.93
02/25/2016,11.17,-0.09,-0.80,0.12,1.11
02/24/2016,11.26,-0.03,-0.27,-0.06,-0.57
02/23/2016,11.29,-0.34,-2.92,-0.16,-1.36
02/22/2016,11.63,0.32,2.83,0.08,0.65
02/19/2016,11.31,0.06,0.53,-0.12,-1.02
02/18/2016,11.25,-0.19,-1.66,-0.19,-1.66
02/17/2016,11.44,0.19,1.69,0.25,2.23
02/16/2016,11.25,0.50,4.65,-0.08,-0.68
02/12/2016,10.75,0.18,1.70,0.15,1.46
02/11/2016,10.57,-0.19,-1.77,-0.27,-2.49
02/10/2016,10.76,0.05,0.47,-0.58,-5.11
02/09/2016,10.71,-0.08,-0.74,-0.62,-5.46
02/08/2016,10.79,-0.22,-2.00,-0.55,-4.88
02/05/2016,11.01,-0.09,-0.81,-0.33,-2.90
02/04/2016,11.1,-0.15,-1.33,-0.14,-1.27
02/03/2016,11.25,0.18,1.63,0.12,1.12
02/02/2016,11.07,-0.33,-2.89,-0.34,-2.97
02/01/2016,11.4,-0.24,-2.06,-0.15,-1.29
01/29/2016,11.64,0.38,3.37,-0.04,-0.31
01/28/2016,11.26,0.10,0.90,-0.05,-0.47
01/27/2016,11.16,-0.14,-1.24,-0.08,-0.71
01/26/2016,11.3,0.09,0.80,0.17,1.57
01/25/2016,11.21,-0.36,-3.11,-0.28,-2.46
01/22/2016,11.57,0.32,2.84,0.12,1.08
01/21/2016,11.25,-0.01,-0.09,0.19,1.71
01/20/2016,11.26,-0.40,-3.43,-0.09,-0.82
01/19/2016,11.66,0.21,1.83,-0.21,-1.78
01/15/2016,11.45,-0.60,-4.98,-0.27,-2.29
01/14/2016,12.05,0.15,1.26,0.02,0.18
01/13/2016,11.9,-0.24,-1.98,-0.24,-2.00
01/12/2016,12.14,-0.04,-0.33,0.07,0.54
01/11/2016,12.18,-0.05,-0.41,0.00,-0.01
01/08/2016,12.23,-0.21,-1.69,-0.44,-3.49
01/07/2016,12.44,-0.46,-3.57,-0.17,-1.34
01/06/2016,12.9,-0.27,-2.05,-0.22,-1.69
01/05/2016,13.17,0.02,0.15,-0.07,-0.52
01/04/2016,13.15,0.00,0.00,-0.19,-1.43
12/31/15,--,--,--,-0.19,-1.34
12/30/15,--,--,--,-0.12,-0.85
12/29/15,--,--,--,-0.02,-0.17
12/28/15,--,--,--,-0.04,-0.24
12/24/15,--,--,--,-0.05,-0.35
12/23/15,--,--,--,0.12,0.80
12/22/15,--,--,--,0.05,0.35
