Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/01/2013,ProShares Ultra FTSE China 50,XPP,56.63,57.66,-1.78633,-1.03,700,39641000
02/28/2013,ProShares Ultra FTSE China 50,XPP,57.66,56.25,2.50667,1.41,700,40362000
02/27/2013,ProShares Ultra FTSE China 50,XPP,56.25,55.23,1.84682,1.02,700,39375000
02/26/2013,ProShares Ultra FTSE China 50,XPP,55.23,54.99,0.43644,0.24,700,38661000
02/25/2013,ProShares Ultra FTSE China 50,XPP,54.99,56.46,-2.60361,-1.47,700,38493000
02/22/2013,ProShares Ultra FTSE China 50,XPP,56.46,56.37,0.15966,0.09,700,39522000
02/21/2013,ProShares Ultra FTSE China 50,XPP,56.37,57.94,-2.70970,-1.57,700,39459000
02/20/2013,ProShares Ultra FTSE China 50,XPP,57.94,59.1,-1.96277,-1.16,700,40558000
02/19/2013,ProShares Ultra FTSE China 50,XPP,59.1,61.85,-4.44624,-2.75,700,41370000
02/15/2013,ProShares Ultra FTSE China 50,XPP,61.85,61.51,0.55276,0.34,700,43295000
02/14/2013,ProShares Ultra FTSE China 50,XPP,61.51,60.99,0.85260,0.52,700,43057000
02/13/2013,ProShares Ultra FTSE China 50,XPP,60.99,60.31,1.12751,0.68,700,42693000
02/12/2013,ProShares Ultra FTSE China 50,XPP,60.31,60.13,0.29935,0.18,700,42217000
02/11/2013,ProShares Ultra FTSE China 50,XPP,60.13,60.37,-0.39755,-0.24,700,42091000
02/08/2013,ProShares Ultra FTSE China 50,XPP,60.37,59.37,1.68435,1,650,39240500
02/07/2013,ProShares Ultra FTSE China 50,XPP,59.37,62.27,-4.65714,-2.9,650,38590500
02/06/2013,ProShares Ultra FTSE China 50,XPP,62.27,62.75,-0.76494,-0.48,650,40475500
02/05/2013,ProShares Ultra FTSE China 50,XPP,62.75,62.78,-0.04779,-0.03,650,40787500
02/04/2013,ProShares Ultra FTSE China 50,XPP,62.78,66.58,-5.70742,-3.8,650,40807000
02/01/2013,ProShares Ultra FTSE China 50,XPP,66.58,65.47,1.69543,1.11,650,43277000
01/31/2013,ProShares Ultra FTSE China 50,XPP,65.47,65.88,-0.62234,-0.41,650,42555500
