Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
07/05/2016,ProShares Ultra MSCI Emerging Markets,EET,48.71,50.95,-4.39647,-2.24,425,20701750
07/01/2016,ProShares Ultra MSCI Emerging Markets,EET,50.95,49.93,2.04286,1.02,425,21653750
06/30/2016,ProShares Ultra MSCI Emerging Markets,EET,49.93,48.96,1.98121,0.97,425,21220250
06/29/2016,ProShares Ultra MSCI Emerging Markets,EET,48.96,46.63,4.99678,2.33,425,20808000
06/28/2016,ProShares Ultra MSCI Emerging Markets,EET,46.63,43.96,6.07370,2.67,425,19817750
06/27/2016,ProShares Ultra MSCI Emerging Markets,EET,43.96,45.16,-2.65722,-1.2,425,18683000
06/24/2016,ProShares Ultra MSCI Emerging Markets,EET,45.16,51.4,-12.14008,-6.24,425,19193000
06/23/2016,ProShares Ultra MSCI Emerging Markets,EET,51.4,49.04,4.81240,2.36,425,21845000
06/22/2016,ProShares Ultra MSCI Emerging Markets,EET,49.04,48.79,0.51240,0.25,425,20842000
06/21/2016,ProShares Ultra MSCI Emerging Markets,EET,48.79,48.06,1.51893,0.73,425,20735750
06/20/2016,ProShares Ultra MSCI Emerging Markets,EET,48.06,46.42,3.53296,1.64,450,21627000
06/17/2016,ProShares Ultra MSCI Emerging Markets,EET,46.42,46.17,0.54148,0.25,450,20889000
06/16/2016,ProShares Ultra MSCI Emerging Markets,EET,46.17,46.51,-0.73103,-0.34,450,20776500
06/15/2016,ProShares Ultra MSCI Emerging Markets,EET,46.51,45.54,2.13000,0.97,450,20929500
06/14/2016,ProShares Ultra MSCI Emerging Markets,EET,45.54,45.79,-0.54597,-0.25,450,20493000
06/13/2016,ProShares Ultra MSCI Emerging Markets,EET,45.79,47.21,-3.00784,-1.42,450,20605500
06/10/2016,ProShares Ultra MSCI Emerging Markets,EET,47.21,49.73,-5.06736,-2.52,525,24785250
06/09/2016,ProShares Ultra MSCI Emerging Markets,EET,49.73,50.87,-2.24101,-1.14,575,28594750
06/08/2016,ProShares Ultra MSCI Emerging Markets,EET,50.87,50.15,1.43569,0.72,575,29250250
06/07/2016,ProShares Ultra MSCI Emerging Markets,EET,50.15,49.29,1.74478,0.86,575,28836250
06/06/2016,ProShares Ultra MSCI Emerging Markets,EET,49.29,48.3,2.04969,0.99,575,28341750
06/03/2016,ProShares Ultra MSCI Emerging Markets,EET,48.3,46.81,3.18308,1.49,575,27772500
06/02/2016,ProShares Ultra MSCI Emerging Markets,EET,46.81,46.01,1.73875,0.8,575,26915750
06/01/2016,ProShares Ultra MSCI Emerging Markets,EET,46.01,46.15,-0.30336,-0.14,575,26455750
05/31/2016,ProShares Ultra MSCI Emerging Markets,EET,46.15,46.04,0.23892,0.11,575,26536250
05/27/2016,ProShares Ultra MSCI Emerging Markets,EET,46.04,46.07,-0.06512,-0.03,550,25322000
05/26/2016,ProShares Ultra MSCI Emerging Markets,EET,46.07,45.46,1.34184,0.61,550,25338500
05/25/2016,ProShares Ultra MSCI Emerging Markets,EET,45.46,44.37,2.45661,1.09,550,25003000
05/24/2016,ProShares Ultra MSCI Emerging Markets,EET,44.37,43.4,2.23502,0.97,550,24403500
05/23/2016,ProShares Ultra MSCI Emerging Markets,EET,43.4,43.65,-0.57274,-0.25,550,23870000
05/20/2016,ProShares Ultra MSCI Emerging Markets,EET,43.65,42.74,2.12915,0.91,550,24007500
05/19/2016,ProShares Ultra MSCI Emerging Markets,EET,42.74,43.61,-1.99496,-0.87,550,23507000
05/18/2016,ProShares Ultra MSCI Emerging Markets,EET,43.61,44.46,-1.91183,-0.85,550,23985500
05/17/2016,ProShares Ultra MSCI Emerging Markets,EET,44.46,44.93,-1.04607,-0.47,550,24453000
05/16/2016,ProShares Ultra MSCI Emerging Markets,EET,44.93,43.87,2.41623,1.06,550,24711500
05/13/2016,ProShares Ultra MSCI Emerging Markets,EET,43.87,45.45,-3.47635,-1.58,550,24128500
05/12/2016,ProShares Ultra MSCI Emerging Markets,EET,45.45,45.73,-0.61229,-0.28,550,24997500
05/11/2016,ProShares Ultra MSCI Emerging Markets,EET,45.73,45.96,-0.50044,-0.23,550,25151500
05/10/2016,ProShares Ultra MSCI Emerging Markets,EET,45.96,44.21,3.95838,1.75,550,25278000
05/09/2016,ProShares Ultra MSCI Emerging Markets,EET,44.21,45.4,-2.62115,-1.19,550,24315500
05/06/2016,ProShares Ultra MSCI Emerging Markets,EET,45.4,45.29,0.24288,0.11,550,24970000
05/05/2016,ProShares Ultra MSCI Emerging Markets,EET,45.29,45.29,0.00000,0,550,24909500
05/04/2016,ProShares Ultra MSCI Emerging Markets,EET,45.29,46.85,-3.32978,-1.56,550,24909500
05/03/2016,ProShares Ultra MSCI Emerging Markets,EET,46.85,49.6,-5.54435,-2.75,550,25767500
05/02/2016,ProShares Ultra MSCI Emerging Markets,EET,49.6,49.93,-0.66093,-0.33,525,26040000
04/29/2016,ProShares Ultra MSCI Emerging Markets,EET,49.93,50.34,-0.81446,-0.41,525,26213250
04/28/2016,ProShares Ultra MSCI Emerging Markets,EET,50.34,51.43,-2.11939,-1.09,525,26428500
04/27/2016,ProShares Ultra MSCI Emerging Markets,EET,51.43,50.82,1.20031,0.61,525,27000750
04/26/2016,ProShares Ultra MSCI Emerging Markets,EET,50.82,49.72,2.21239,1.1,525,26680500
04/25/2016,ProShares Ultra MSCI Emerging Markets,EET,49.72,50.39,-1.32963,-0.67,525,26103000
04/22/2016,ProShares Ultra MSCI Emerging Markets,EET,50.39,51.04,-1.27351,-0.65,525,26454750
04/21/2016,ProShares Ultra MSCI Emerging Markets,EET,51.04,52.05,-1.94044,-1.01,525,26796000
04/20/2016,ProShares Ultra MSCI Emerging Markets,EET,52.05,52.53,-0.91376,-0.48,500,26025000
04/19/2016,ProShares Ultra MSCI Emerging Markets,EET,52.53,51.04,2.91928,1.49,500,26265000
04/18/2016,ProShares Ultra MSCI Emerging Markets,EET,51.04,50.52,1.02930,0.52,500,25520000
04/15/2016,ProShares Ultra MSCI Emerging Markets,EET,50.52,51.05,-1.03820,-0.53,450,22734000
04/14/2016,ProShares Ultra MSCI Emerging Markets,EET,51.05,51.61,-1.08506,-0.56,400,20420000
04/13/2016,ProShares Ultra MSCI Emerging Markets,EET,51.61,49.85,3.53059,1.76,400,20644000
04/12/2016,ProShares Ultra MSCI Emerging Markets,EET,49.85,48.37,3.05975,1.48,400,19940000
04/11/2016,ProShares Ultra MSCI Emerging Markets,EET,48.37,47.16,2.56573,1.21,350,16929500
04/08/2016,ProShares Ultra MSCI Emerging Markets,EET,47.16,45.57,3.48914,1.59,350,16506000
04/07/2016,ProShares Ultra MSCI Emerging Markets,EET,45.57,47.5,-4.06316,-1.93,350,15949500
04/06/2016,ProShares Ultra MSCI Emerging Markets,EET,47.5,46.27,2.65831,1.23,350,16625000
04/05/2016,ProShares Ultra MSCI Emerging Markets,EET,46.27,48.19,-3.98423,-1.92,350,16194500
04/04/2016,ProShares Ultra MSCI Emerging Markets,EET,48.19,49.47,-2.58743,-1.28,350,16866500
04/01/2016,ProShares Ultra MSCI Emerging Markets,EET,49.47,49.73,-0.52282,-0.26,350,17314500
03/31/2016,ProShares Ultra MSCI Emerging Markets,EET,49.73,49.82,-0.18065,-0.09,350,17405500
03/30/2016,ProShares Ultra MSCI Emerging Markets,EET,49.82,48.82,2.04834,1,350,17437000
03/29/2016,ProShares Ultra MSCI Emerging Markets,EET,48.82,47.51,2.75731,1.31,350,17087000
03/28/2016,ProShares Ultra MSCI Emerging Markets,EET,47.51,47.2,0.65678,0.31,350,16628500
03/24/2016,ProShares Ultra MSCI Emerging Markets,EET,47.2,47.43,-0.48493,-0.23,350,16520000
03/23/2016,ProShares Ultra MSCI Emerging Markets,EET,47.43,49.11,-3.42089,-1.68,350,16600500
03/22/2016,ProShares Ultra MSCI Emerging Markets,EET,49.11,49.34,-0.46615,-0.23,350,17188500
03/21/2016,ProShares Ultra MSCI Emerging Markets,EET,49.34,49.14,0.40700,0.2,350,17269000
03/18/2016,ProShares Ultra MSCI Emerging Markets,EET,49.14,48.66,0.98644,0.48,350,17199000
03/17/2016,ProShares Ultra MSCI Emerging Markets,EET,48.66,46.57,4.48787,2.09,350,17031000
03/16/2016,ProShares Ultra MSCI Emerging Markets,EET,46.57,44.78,3.99732,1.79,350,16299500
03/15/2016,ProShares Ultra MSCI Emerging Markets,EET,44.78,46.1,-2.86334,-1.32,350,15673000
03/14/2016,ProShares Ultra MSCI Emerging Markets,EET,46.1,46.67,-1.22134,-0.57,350,16135000
03/11/2016,ProShares Ultra MSCI Emerging Markets,EET,46.67,44.8,4.17411,1.87,350,16334500
03/10/2016,ProShares Ultra MSCI Emerging Markets,EET,44.8,44.66,0.31348,0.14,350,15680000
03/09/2016,ProShares Ultra MSCI Emerging Markets,EET,44.66,44.12,1.22393,0.54,350,15631000
03/08/2016,ProShares Ultra MSCI Emerging Markets,EET,44.12,45.6,-3.24561,-1.48,350,15442000
03/07/2016,ProShares Ultra MSCI Emerging Markets,EET,45.6,45.82,-0.48014,-0.22,325,14820000
03/04/2016,ProShares Ultra MSCI Emerging Markets,EET,45.82,44.07,3.97096,1.75,325,14891500
03/03/2016,ProShares Ultra MSCI Emerging Markets,EET,44.07,43.1,2.25058,0.97,325,14322750
03/02/2016,ProShares Ultra MSCI Emerging Markets,EET,43.1,42.01,2.59462,1.09,325,14007500
03/01/2016,ProShares Ultra MSCI Emerging Markets,EET,42.01,39.16,7.27783,2.85,325,13653250
02/29/2016,ProShares Ultra MSCI Emerging Markets,EET,39.16,38.53,1.63509,0.63,325,12727000
02/26/2016,ProShares Ultra MSCI Emerging Markets,EET,38.53,39.28,-1.90937,-0.75,325,12522250
02/25/2016,ProShares Ultra MSCI Emerging Markets,EET,39.28,39.02,0.66632,0.26,325,12766000
02/24/2016,ProShares Ultra MSCI Emerging Markets,EET,39.02,39.15,-0.33206,-0.13,325,12681500
02/23/2016,ProShares Ultra MSCI Emerging Markets,EET,39.15,40.98,-4.46559,-1.83,325,12723750
02/22/2016,ProShares Ultra MSCI Emerging Markets,EET,40.98,38.99,5.10387,1.99,325,13318500
02/19/2016,ProShares Ultra MSCI Emerging Markets,EET,38.99,39.4,-1.04061,-0.41,325,12671750
02/18/2016,ProShares Ultra MSCI Emerging Markets,EET,39.4,39.87,-1.17883,-0.47,325,12805000
02/17/2016,ProShares Ultra MSCI Emerging Markets,EET,39.87,38.37,3.90930,1.5,325,12957750
02/16/2016,ProShares Ultra MSCI Emerging Markets,EET,38.37,36.74,4.43658,1.63,325,12470250
02/12/2016,ProShares Ultra MSCI Emerging Markets,EET,36.74,35.51,3.46381,1.23,325,11940500
02/11/2016,ProShares Ultra MSCI Emerging Markets,EET,35.51,36.74,-3.34785,-1.23,325,11540750
02/10/2016,ProShares Ultra MSCI Emerging Markets,EET,36.74,36.37,1.01732,0.37,325,11940500
