Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
11/02/2018,ProShares Short MSCI Emerging Markets,EUM,20.01,20.14,-0.64548,-0.13,12250,245122500
11/01/2018,ProShares Short MSCI Emerging Markets,EUM,20.14,20.88,-3.54406,-0.74,12400,249736000
10/31/2018,ProShares Short MSCI Emerging Markets,EUM,20.88,21.11,-1.08953,-0.23,12400,258912000
10/30/2018,ProShares Short MSCI Emerging Markets,EUM,21.11,21.53,-1.95077,-0.42,12400,261764000
10/29/2018,ProShares Short MSCI Emerging Markets,EUM,21.53,21.16,1.74858,0.37,12400,266972000
10/26/2018,ProShares Short MSCI Emerging Markets,EUM,21.16,20.92,1.14723,0.24,12250,259210000
10/25/2018,ProShares Short MSCI Emerging Markets,EUM,20.92,21.33,-1.92218,-0.41,12250,256270000
10/24/2018,ProShares Short MSCI Emerging Markets,EUM,21.33,20.66,3.24298,0.67,12250,261292500
10/23/2018,ProShares Short MSCI Emerging Markets,EUM,20.66,20.44,1.07632,0.22,12250,253085000
10/22/2018,ProShares Short MSCI Emerging Markets,EUM,20.44,20.66,-1.06486,-0.22,12250,250390000
10/19/2018,ProShares Short MSCI Emerging Markets,EUM,20.66,20.85,-0.91127,-0.19,11850,244821000
10/18/2018,ProShares Short MSCI Emerging Markets,EUM,20.85,20.31,2.65879,0.54,11900,248115000
10/17/2018,ProShares Short MSCI Emerging Markets,EUM,20.31,20.07,1.19581,0.24,11900,241689000
10/16/2018,ProShares Short MSCI Emerging Markets,EUM,20.07,20.58,-2.47813,-0.51,11950,239836500
10/15/2018,ProShares Short MSCI Emerging Markets,EUM,20.58,20.36,1.08055,0.22,11800,242844000
10/12/2018,ProShares Short MSCI Emerging Markets,EUM,20.36,20.98,-2.95520,-0.62,11800,240248000
10/11/2018,ProShares Short MSCI Emerging Markets,EUM,20.98,20.76,1.05973,0.22,11800,247564000
10/10/2018,ProShares Short MSCI Emerging Markets,EUM,20.76,20.16,2.97619,0.6,11850,246006000
10/09/2018,ProShares Short MSCI Emerging Markets,EUM,20.16,20.09,0.34843,0.07,11850,238896000
10/08/2018,ProShares Short MSCI Emerging Markets,EUM,20.09,20.12,-0.14911,-0.03,11850,238066500
10/05/2018,ProShares Short MSCI Emerging Markets,EUM,20.12,20.04,0.39920,0.08,11700,235404000
10/04/2018,ProShares Short MSCI Emerging Markets,EUM,20.04,19.55,2.50639,0.49,11600,232464000
10/03/2018,ProShares Short MSCI Emerging Markets,EUM,19.55,19.39,0.82517,0.16,11600,226780000
10/02/2018,ProShares Short MSCI Emerging Markets,EUM,19.39,19.14,1.30617,0.25,11600,224924000
10/01/2018,ProShares Short MSCI Emerging Markets,EUM,19.14,19.15,-0.05222,-0.01,11600,222024000
09/28/2018,ProShares Short MSCI Emerging Markets,EUM,19.15,19.02,0.68349,0.13,11500,220225000
09/27/2018,ProShares Short MSCI Emerging Markets,EUM,19.02,19.11,-0.47096,-0.09,11500,218730000
09/26/2018,ProShares Short MSCI Emerging Markets,EUM,19.11,19.19,-0.41688,-0.08,11500,219765000
09/25/2018,ProShares Short MSCI Emerging Markets,EUM,19.19,19.26,-0.36345,-0.07,11500,220685000
09/24/2018,ProShares Short MSCI Emerging Markets,EUM,19.26,19.04,1.15546,0.22,11350,218601000
09/21/2018,ProShares Short MSCI Emerging Markets,EUM,19.04,19.13,-0.47047,-0.09,11350,216104000
09/20/2018,ProShares Short MSCI Emerging Markets,EUM,19.13,19.34,-1.08583,-0.21,11350,217125500
09/19/2018,ProShares Short MSCI Emerging Markets,EUM,19.34,19.61,-1.37685,-0.27,11300,218542000
09/18/2018,ProShares Short MSCI Emerging Markets,EUM,19.61,19.8,-0.95960,-0.19,11400,223554000
09/17/2018,ProShares Short MSCI Emerging Markets,EUM,19.8,19.62,0.91743,0.18,11400,225720000
09/14/2018,ProShares Short MSCI Emerging Markets,EUM,19.62,19.6,0.10204,0.02,11400,223668000
09/13/2018,ProShares Short MSCI Emerging Markets,EUM,19.6,19.87,-1.35883,-0.27,11500,225400000
09/12/2018,ProShares Short MSCI Emerging Markets,EUM,19.87,19.97,-0.50075,-0.1,11500,228505000
09/11/2018,ProShares Short MSCI Emerging Markets,EUM,19.97,20.01,-0.19990,-0.04,11400,227658000
09/10/2018,ProShares Short MSCI Emerging Markets,EUM,20.01,19.82,0.95863,0.19,11300,226113000
09/07/2018,ProShares Short MSCI Emerging Markets,EUM,19.82,19.72,0.50710,0.1,11300,223966000
09/06/2018,ProShares Short MSCI Emerging Markets,EUM,19.72,19.73,-0.05068,-0.01,11300,222836000
09/05/2018,ProShares Short MSCI Emerging Markets,EUM,19.73,19.45,1.43959,0.28,11300,222949000
