Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
12/22/2011,ProShares Short FTSE China 50,YXI,44.76,45.55,-1.73436,-0.79,250,11190044.76
12/21/2011,ProShares Short FTSE China 50,YXI,45.55,45.27,0.61851,0.28,250,11387545.55
12/20/2011,ProShares Short FTSE China 50,YXI,45.27,47.17,-4.02798,-1.9,250,11317545.27
12/19/2011,ProShares Short FTSE China 50,YXI,47.17,46.03,2.47665,1.14,250,11792547.17
12/16/2011,ProShares Short FTSE China 50,YXI,46.03,46.68,-1.39246,-0.65,250,11507546.03
12/15/2011,ProShares Short FTSE China 50,YXI,46.68,46.3,0.82073,0.38,250,11670046.68
12/14/2011,ProShares Short FTSE China 50,YXI,46.3,45.86,0.95944,0.44,250,11575046.3
12/13/2011,ProShares Short FTSE China 50,YXI,45.86,45.53,0.72480,0.33,250,11465045.86
12/12/2011,ProShares Short FTSE China 50,YXI,45.53,43.91,3.68936,1.62,250,11382545.53
12/09/2011,ProShares Short FTSE China 50,YXI,43.91,44.64,-1.63530,-0.73,250,10977543.91
12/08/2011,ProShares Short FTSE China 50,YXI,44.64,43.35,2.97578,1.29,250,11160044.64
12/07/2011,ProShares Short FTSE China 50,YXI,43.35,43.67,-0.73277,-0.32,250,10837543.35
12/06/2011,ProShares Short FTSE China 50,YXI,43.67,43.31,0.83122,0.36,250,10917543.67
12/05/2011,ProShares Short FTSE China 50,YXI,43.31,43.88,-1.29900,-0.57,250,10827543.31
12/02/2011,ProShares Short FTSE China 50,YXI,43.88,43.62,0.59606,0.26,250,10970043.88
12/01/2011,ProShares Short FTSE China 50,YXI,43.62,44.06,-0.99864,-0.44,250,10905043.62
11/30/2011,ProShares Short FTSE China 50,YXI,44.06,46.78,-5.81445,-2.72,250,11015044.06
11/29/2011,ProShares Short FTSE China 50,YXI,46.78,46.33,0.97129,0.45,250,11695046.78
11/28/2011,ProShares Short FTSE China 50,YXI,46.33,48.18,-3.83977,-1.85,250,11582546.33
11/25/2011,ProShares Short FTSE China 50,YXI,48.18,48.12,0.12469,0.06,250,12045048.18
11/23/2011,ProShares Short FTSE China 50,YXI,48.12,46.87,2.66695,1.25,250,12030048.12
11/22/2011,ProShares Short FTSE China 50,YXI,46.87,46.96,-0.19165,-0.09,250,11717546.87
11/21/2011,ProShares Short FTSE China 50,YXI,46.96,45.58,3.02764,1.38,250,11740046.96
11/18/2011,ProShares Short FTSE China 50,YXI,45.58,45.75,-0.37158,-0.17,250,11395045.58
11/17/2011,ProShares Short FTSE China 50,YXI,45.75,44.53,2.73973,1.22,250,11437545.75
11/16/2011,ProShares Short FTSE China 50,YXI,44.53,42.73,4.21250,1.8,250,11132544.53
11/15/2011,ProShares Short FTSE China 50,YXI,42.73,43.28,-1.27079,-0.55,250,10682542.73
11/14/2011,ProShares Short FTSE China 50,YXI,43.28,42.74,1.26345,0.54,250,10820043.28
11/11/2011,ProShares Short FTSE China 50,YXI,42.74,43.7,-2.19680,-0.96,250,10685042.74
11/10/2011,ProShares Short FTSE China 50,YXI,43.7,43.88,-0.41021,-0.18,250,10925043.7
11/09/2011,ProShares Short FTSE China 50,YXI,43.88,41.63,5.40476,2.25,250,10970043.88
11/08/2011,ProShares Short FTSE China 50,YXI,41.63,42.42,-1.86233,-0.79,250,10407541.63
