"Global X MSCI China Consumer Discretionary ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
5/13/15,--,--,--,-0.13,-0.83
5/12/15,--,--,--,-0.08,-0.51
5/11/15,--,--,--,-0.15,-0.98
5/8/15,--,--,--,0.02,0.13
5/7/15,--,--,--,-0.04,-0.26
5/6/15,--,--,--,-0.21,-1.36
5/5/15,--,--,--,-0.09,-0.61
5/4/15,--,--,--,0.05,0.34
5/1/15,--,--,--,-0.01,-0.07
4/30/15,--,--,--,-0.13,-0.84
4/29/15,--,--,--,-0.09,-0.56
4/28/15,--,--,--,-0.02,-0.11
4/27/15,--,--,--,-0.02,-0.11
4/24/15,--,--,--,-0.02,-0.11
4/23/15,--,--,--,-0.01,-0.08
4/22/15,--,--,--,0.00,0.03
4/21/15,--,--,--,-0.04,-0.25
4/20/15,--,--,--,0.06,0.41
4/17/15,--,--,--,-0.36,-2.35
4/16/15,--,--,--,0.06,0.40
4/15/15,--,--,--,0.01,0.07
4/14/15,--,--,--,0.03,0.17
4/13/15,--,--,--,-0.13,-0.81
4/10/15,--,--,--,0.18,1.17
4/9/15,--,--,--,0.42,2.70
4/8/15,--,--,--,0.33,2.17
4/7/15,--,--,--,0.23,1.60
4/6/15,--,--,--,0.17,1.16
4/2/15,--,--,--,0.02,0.13
4/1/15,--,--,--,0.02,0.12
3/31/15,--,--,--,-0.02,-0.14
3/30/15,--,--,--,0.10,0.71
3/27/15,--,--,--,0.00,0.00
3/26/15,--,--,--,-0.12,-0.87
3/25/15,--,--,--,-0.15,-1.16
3/24/15,--,--,--,-0.06,-0.48
3/23/15,--,--,--,-0.07,-0.54
3/20/15,--,--,--,0.00,0.04
3/19/15,--,--,--,-0.07,-0.52
3/18/15,--,--,--,0.05,0.39
3/17/15,--,--,--,0.00,0.03
3/16/15,--,--,--,-0.01,-0.08
3/13/15,--,--,--,-0.07,-0.57
3/12/15,--,--,--,-0.05,-0.38
3/11/15,--,--,--,-0.08,-0.62
3/10/15,--,--,--,-0.16,-1.24
3/9/15,--,--,--,-0.08,-0.60
3/6/15,--,--,--,-0.15,-1.16
3/5/15,--,--,--,-0.08,-0.63
3/4/15,--,--,--,-0.10,-0.81
3/3/15,--,--,--,-0.10,-0.76
3/2/15,--,--,--,-0.03,-0.24
2/27/15,--,--,--,-0.02,-0.14
2/26/15,--,--,--,-0.08,-0.58
2/25/15,--,--,--,-0.06,-0.48
2/24/15,--,--,--,-0.01,-0.04
2/23/15,--,--,--,-0.10,-0.77
2/20/15,--,--,--,-0.04,-0.27
2/19/15,--,--,--,-0.10,-0.73
2/18/15,--,--,--,-0.09,-0.70
2/17/15,--,--,--,-0.04,-0.34
2/13/15,--,--,--,-0.05,-0.39
2/12/15,--,--,--,-0.01,-0.09
2/11/15,--,--,--,-0.03,-0.23
2/10/15,--,--,--,-0.06,-0.47
2/9/15,--,--,--,-0.09,-0.72
2/6/15,--,--,--,-0.12,-0.95
2/5/15,--,--,--,-0.01,-0.05
2/4/15,--,--,--,0.09,0.68
2/3/15,--,--,--,0.04,0.33
2/2/15,--,--,--,-0.01,-0.06
1/30/15,--,--,--,-0.18,-1.39
1/29/15,--,--,--,0.00,0.03
1/28/15,--,--,--,-0.24,-1.86
1/27/15,--,--,--,-0.09,-0.69
1/26/15,--,--,--,-0.04,-0.33
